CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R1,,,,,
Speaker,수아,,,,,
Char,Sua,,,,,
Text,네? 제가 죽었다고요?,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,그렇습니다. 이제 저를 따라 저승까지 가셔야...,,,,,
Speaker,수아,,,,,
Char,Sua,,,,,
Text,......,,,,,
Bgm,Saja,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Sua_Wa,,,,,
Text,대박!!!,,,,,
Speaker,사자,,,,,
Char,Saja_Sad,,,,,
Text,네??,,,,,
Speaker,수아,,,,,
Char,Sua_Wa,,,,,
Text,사후세계는 있었던 건가요? 그럼 당신은 저승사자?,,,,,
Text,저승사자면 손도 차갑나? 한 번 만져봐도 돼요?,,,,,
Speaker,사자,,,,,
Char,Saja_Sad,,,,,
Text,"지, 진정하시고...",,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Saja_What,,,,,
Text,히익!!,,,,,
Speaker,수아,,,,,
Char,Sua,,,,,
Text,오... 나도 죽어서 그런가? 별로 차갑진 않네.,,,,,
Speaker,사자,,,,,
Char,Saja_What,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,모머뭐무뭐하시는 겁니까!!,,,,,
Speaker,수아,,,,,
Char,Sua,,,,,
Text,전 궁금한 건 못 참거든요~,,,,,
Char,Sua_Wa,,,,,
Text,아! 그럼 저승사자는 심장소리도 안 들리나?,,,,,
Text,"궁금한 데, 혹시...",,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,......,,,,,
Text,......,,,,,
HideChar,,,,,,
Sfx,Footstep,,,,,
Speaker,,,,,,
Text,저승사자는 도망가버렸다...,,,,,
Speaker,수아,,,,,
Char,Sua,,,,,
Text,앗 어디가요! 잠깐만이면 된다니까요!,,,,,
HideChar,,,,,,
Sfx,Footstep,,,,,
Wait,0.5,,,,,
Speaker,사자,,,,,
Shake,,,,,,
Sfx,Collapse,,,,,
Text,꺄아아아아아아아아아악-!!!,,,,,
Wait,3,,,,,
Speaker,,,,,,
Text,......,,,,,
Text,몇 분 후 영혼과 저승사자가 돌아왔다.,,,,,
Speaker,사자,,,,,
Char,Saja_Sad2,,,,,
Text,우... 우우...,,,,,
Text,집 가고 싶어... 훌쩍훌쩍...,,,,,
Speaker,수아,,,,,
Char,Sua,,,,,
Text,아잇 나도 참… 호기심을 못 참는 바람에. 죄송합니다!!,,,,,
Choice,대체 무슨 일이?!,then,,,,
Text,별일은 아니고... 같이 뛰다가 우당탕탕 넘어졌지 뭐에요.,,,,,
Text,우연히 사자님 품으로 쓰러진 덕분에 궁금증 해결!,,,,,
Char,Sua_Smile,,,,,
Text,이제 궁금증은 다 풀렸으니까 따라갈게요!,,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,우여곡절 끝에 영혼의 한이 풀린 것 같다...,,,,,
Clear,S02_CSA,,,,,
