CommandType,Param1,Param2,Param3,Param4
Bg,E,,,
Char,Saja,,,
Speaker,사자,,,
Text,네가 새로 왔다는 <color=#26EEFF>저승협력부</color> 인간 신참인가?,,,
Text,뭘 해야하는지는 알고 있지?,,,
Choice,알아요,c1_1,몰라요,c1_2
Label,c1_1,,,
Shake,,,,
Sfx,Shake,,,
Text,알긴 뭘 알아? 신참 주제에!,,,
Jump,c1_end,,,
Label,c1_2,,,
Shake,,,,
Sfx,Shake,,,
Text,뭐? 너무 당당해서 어이가 없네...,,,
Label,c1_end,,,
Text,"이곳의 망자들은 <color=#26EEFF>'한'</color>을 가지고 있어서, 우리는 그 '한'을 풀어주어야 해.",,,
Choice,'한'을 풀다?,han,,
Label,han,,,
Text,"그래, <color=#26EEFF>'한'</color>.",,,
Text,"슬픔과 억울함, 어느정도는 체념하고 있으면서도 동시에 완전히 포기하지는 못하는...",,,
Text,...그런 감정 말이야.,,,
Text,"한을 풀어주지 않으면, 그들은 여기서 순순히 떠나려 하지 않을거야.",,,
Text,그러면 지박령이 되어 사람들을 해치게 될 수 있지.,,,
Text,"이런 경우를 위해, 이승에서 너같은 사람을 우리 저승사자에게 파트너로 붙여주는 거지.",,,
Text,갓 죽은 사람들의 마음을 헤야리기 쉬운 것은 이승 사람이니 말이야.,,,
Choice,어려워보이는데...,ok,까짓것 해보죠.,ok
Label,ok,,,
Text,"뭐, 걱정 말라고. 너는 그냥 서포트하며 배우는 역할이니까.",,,
Text,이 명부만 있으면 그렇게 어려운 일은 아니......,,,
Speaker,,,,
Bgm,Saja,,,
Text,"저승사자는 품 속을 뒤적이다, 계속 뒤적이다, 새파랗던 낫빛이 더욱 새파래진다.",,,
Choice,혹시 안 가져오신 거에요?,c2_1,헐... 선배 주제에.,c2_2
Label,c2_1,,,
Speaker,사자,,,
Text,아... 안 가져온게 아니라 놓고 온 거거든!,,,
Jump,c2_end,,,
Label,c2_2,,,
Speaker,사자,,,
Text,"모, 못, 머, 뭐라고?! 이, 이 자식이...",,,
Label,c2_end,,,
Text,"크, 큰일이네. 저승까지 갔다올 시간은 없는데...",,,
Text,"그래, 너! 네가 날 도와서 영혼들의 이름들도 찾아줘야겠다.",,,
Choice,네? 제가요?,c3_1,왜 자기 일을 나한테...,c3_2
Label,c3_1,,,
Text,"뭐, 잘 된거잖아? 원래 이건 몇 년 더 구른 다음에 할 수 있는 일인데.",,,
Jump,c3_end,,,
Label,c3_2,,,
Text,"으, 으윽... 어쨌거나!",,,
Label,c3_end,,,
Text,일단 안으로 들어가자고! 어떻게 해야할지 알려줄테니.,,,
Flag,Saja_Meet,,,
